Shrew_ID,Species,Site,Transect,Zone,Season,Date,Time,Sex,Weight_(g),Total_Length,Head_Length,Body_Length,Front_Limb_Length,Rear_Limb_Length
E40,Pygmy,IE46,East,Outside,Winter,16/02/2018,Unknown,,2.9,92.6,19.4,36.9,18.1,23
E79,Pygmy,IE46,East,Outside,Winter,09/03/2018,Unknown,11:45,3,88.5,19.8,34.1,18.8,21.9
E80,Pygmy,IE46,East,Outside,Winter,09/03/2018,M,11:45,2.9,95.5,17.9,35.4,17.4,23.7
E81,Pygmy,IE46,East,Outside,Winter,09/03/2018,M,16:00,2.8,90.2,18.8,33.8,19.4,22.3
E82,Pygmy,IE46,East,Outside,Winter,09/03/2018,F,16:00,3.1,98.5,20.1,33.7,18.7,23.1
E21,Pygmy,IE47,East,Edge,Summer,16/09/2017,Unknown,13:00,3.2,86.6,19.2,30.8,18.8,23.9
E22,GWTS,IE47,East,Edge,Summer,16/09/2017,Unknown,13:00,9.5,111,25.1,51.8,27.6,29.8
E23,GWTS,IE47,East,Edge,Summer,16/09/2017,Unknown,13:00,9.8,116.3,24.8,50,26,29
E24,Pygmy,IE47,East,Edge,Summer,16/09/2017,Unknown,14:50,3.2,92.5,20.2,37,17.7,23.8
S19,Pygmy,IE48,South,Outside,Summer,22/09/2017,Unknown,12:10,3.3,90,18.9,37.4,16.7,23.4
S20,Pygmy,IE48,South,Outside,Summer,22/09/2017,Unknown,13:00,3.2,87.5,20,36.8,18.5,23.8
