Sample,shrew_zone,shrew_tran,Shrew,Transect,Zone,Season,Control,Trap_Site,Date,Sex,Time,Weight
S10,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE08,19/09/2017,Unknown,15:30,9.1
S11,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE08,19/09/2017,Unknown,15:30,10.5
S12,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09,20/09/2017,Unknown,12:00,3.3
S13,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09B,20/09/2017,Unknown,14:15,3.2
S14,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09B,20/09/2017,Unknown,14:30,3.4
S15,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09B,20/09/2017,Unknown,17:20,3.1
S16,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09B,21/09/2017,Unknown,11:30,3.4
S17,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09B,21/09/2017,Unknown,11:30,3.2
S18,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE09B,21/09/2017,Unknown,14:00,3
S19,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE48,22/09/2017,Unknown,12:10,3.3
S20,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE48,22/09/2017,Unknown,13:00,3.2
S21,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,No,IE48,22/09/2017,Unknown,13:15,3.3
S22,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE13,27/09/2017,Unknown,14:00,3.4
S23,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE13,27/09/2017,Unknown,14:00,8
S24,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE13,27/09/2017,Unknown,14:00,13.8
S25,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE13,27/09/2017,Unknown,14:00,11
S26,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE13,27/09/2017,Unknown,17:00,3.5
S27,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE13,28/09/2017,Unknown,12:00,3.5
S28,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE13,28/09/2017,Unknown,14:15,3.5
S29,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE13,28/09/2017,Unknown,15:45,3.7
S30,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE51,28/09/2017,Unknown,16:00,3.5
S31,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52,29/09/2017,Unknown,13:15,11.2
S32,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52,29/09/2017,Unknown,13:15,11.2
S33,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52,29/09/2017,Unknown,13:15,9.5
S34,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52b,29/09/2017,Unknown,13:30,10.5
S35,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52c,29/09/2017,Unknown,13:40,13.1
S36,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52c,29/09/2017,Unknown,13:40,10.7
S37,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52c,29/09/2017,Unknown,13:45,9.5
S38,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52c,29/09/2017,Unknown,13:45,10
S39,GWTS_Inside,GWTS_South,GWTS,South,Inside,Summer,No,IE52c,29/09/2017,Unknown,13:45,10.5
